IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
11927;74200;31/08/2020;5700
12901;70809;31/08/2020;23603
5943;100000;31/08/2020;20000
13216;63045;31/08/2020;5209
12853;140000;31/08/2020;10000
21109;153368;31/08/2020;12228
31343;126416;31/08/2020;7736
5274;121538;31/08/2020;6923
18512;39990;31/08/2020;7998
19153;131900;31/08/2020;8650
22543;135236;31/08/2020;9206
27866;163592;31/08/2020;13932
33620;170000;31/08/2020;15000
11408;140000;31/08/2020;10000
17592;129434;31/08/2020;8239
22969;78310;31/08/2020;6385
34984;222061;31/08/2020;6211
15517;250809;31/08/2020;7621
28781;349830;31/08/2020;15201
27820;324272;31/08/2020;13500
33278;148780;31/08/2020;4439
10528;233807;31/08/2020;13250
15178;74312;31/08/2020;14312
28837;185974;31/08/2020;6265
12655;204983;31/08/2020;6637
11417;420024;31/08/2020;20000
16640;1050060;31/08/2020;50000
11148;219789;31/08/2020;6923
14496;115580;31/08/2020;3779
19837;223131;31/08/2020;8650
25272;261287;31/08/2020;15625
21867;130298;31/08/2020;8383
4394;50000;31/08/2020;10000
16210;129434;31/08/2020;8239
19314;130320;31/08/2020;10064
21725;121865;31/08/2020;8373
28348;78790;31/08/2020;11158
772;124645;31/08/2020;8929
2357;41865;31/08/2020;8373
19963;116052;31/08/2020;6094
26582;141608;31/08/2020;7701
22171;30696;31/08/2020;5116
26268;87174;31/08/2020;4529
5200;80000;31/08/2020;6273
952;127320;31/08/2020;9464
3160;38292;31/08/2020;9573
11056;33692;31/08/2020;8423
12705;115851;31/08/2020;18617
;115000;31/08/2020;15000
;107723;31/08/2020;9241
;99155;31/08/2020;6385
12948;147360;31/08/2020;13472
16010;107220;31/08/2020;5444
24215;127260;31/08/2020;9452
35417;139000;31/08/2020;11800
28700;80000;31/08/2020;0
5469;46940;31/08/2020;11735
1406;49732;31/08/2020;3933
9152;35690;31/08/2020;4330
23961;49430;31/08/2020;4715
12351;136920;31/08/2020;15384
14749;132124;31/08/2020;13031
15679;14760;31/08/2020;3690
16761;53925;31/08/2020;6265
25358;125000;31/08/2020;25000
26579;110324;31/08/2020;10108
35445;100000;31/08/2020;20000
;89125;31/08/2020;9125
;0;31/08/2020;0
7200;94883;31/08/2020;4961
9537;118345;31/08/2020;7669
9770;122944;31/08/2020;10736
17281;156485;31/08/2020;15297
17372;121115;31/08/2020;8223
17605;121195;31/08/2020;8239
19649;90888;31/08/2020;10222
20484;110015;31/08/2020;6003
27680;48000;31/08/2020;12000
29434;129695;31/08/2020;9939
35372;121208;31/08/2020;10302
35696;107816;31/08/2020;5018
;92412;31/08/2020;6206
6672;75370;31/08/2020;6074
35850;406050;31/08/2020;15000
19553;94225;31/08/2020;13350
18389;359061;31/08/2020;11801
3370;322652;31/08/2020;9404
11095;63557;31/08/2020;10174
7658;98600;31/08/2020;5860
17406;95212;31/08/2020;8539
1610;101372;31/08/2020;6074
1930;41274;31/08/2020;4586
6397;149296;31/08/2020;7223
7434;230000;31/08/2020;15000
19897;1642192;31/08/2020;50000
24953;329724;31/08/2020;6955
3379;159765;31/08/2020;6211
18358;104157;31/08/2020;11573
24452;91040;31/08/2020;9104
33406;100000;31/08/2020;10000
252;144606;31/08/2020;11801
868;126880;31/08/2020;5908
6434;195200;31/08/2020;15000
22651;92960;31/08/2020;5296
20986;187900;31/08/2020;10790
28670;129080;31/08/2020;5908
1907;147870;31/08/2020;7916
8018;147248;31/08/2020;7472
12465;13980;31/08/2020;3495
18503;90569;31/08/2020;4367
31512;109910;31/08/2020;7130
33256;210000;31/08/2020;30000
6404;98758;31/08/2020;6094
2228;57916;31/08/2020;4936
7103;131972;31/08/2020;7602
;128436;31/08/2020;12109
;127824;31/08/2020;11956
;80000;31/08/2020;0
21485;63098;31/08/2020;9014
24977;122658;31/08/2020;6094
30533;257320;31/08/2020;21220
;118267;31/08/2020;9783
15924;148859;31/08/2020;9837
860;150497;31/08/2020;10071
34136;142419;31/08/2020;8917
6601;91058;31/08/2020;5794
15843;77138;31/08/2020;6734
8319;23425;31/08/2020;4685
10166;81307;31/08/2020;5901
12567;95452;31/08/2020;9242
12749;140004;31/08/2020;8572
14217;133140;31/08/2020;9020
15099;102352;31/08/2020;6074
23334;176299;31/08/2020;13757
23475;244269;31/08/2020;23467
32936;34776;31/08/2020;5796
3270;70000;31/08/2020;10000
7878;105000;31/08/2020;15000
27088;162607;31/08/2020;11801
35205;75825;31/08/2020;15165
5929;130320;31/08/2020;10064
9876;146415;31/08/2020;12345
18881;82232;31/08/2020;5056
27487;145090;31/08/2020;7916
12865;200651;31/08/2020;8673
26981;180758;31/08/2020;7718
31530;142532;31/08/2020;10422
29095;133677;31/08/2020;7668
21863;149010;31/08/2020;13802
4314;115943;31/08/2020;8549
17679;135795;31/08/2020;11159
24595;80000;31/08/2020;0
12130;103855;31/08/2020;6265
16445;77797;31/08/2020;7971
20562;140000;31/08/2020;20000
31880;49340;31/08/2020;9868
20965;143140;31/08/2020;9020
26252;42365;31/08/2020;8473
6950;50000;31/08/2020;10000
21143;103280;31/08/2020;4656
20479;47826;31/08/2020;7971
402;103508;31/08/2020;8918
776;150104;31/08/2020;11684
6146;107673;31/08/2020;8239
4345;23450;31/08/2020;4690
9861;53508;31/08/2020;8918
16243;136358;31/08/2020;9393
21164;121538;31/08/2020;6923
16771;164462;31/08/2020;14077
10447;140000;31/08/2020;10000
13129;70104;31/08/2020;11684
18128;96478;31/08/2020;8239
19522;131900;31/08/2020;8650
35367;39165;31/08/2020;7833
27239;133364;31/08/2020;8894
8881;60467;31/08/2020;5497
27101;330341;31/08/2020;30031
6128;112664;31/08/2020;5444
22039;68338;31/08/2020;4723
25781;130430;31/08/2020;8405
24740;118310;31/08/2020;6385
13698;36444;31/08/2020;6074
